,structure_id,cofactor_id,cofactor_type,burial_depth,radius
119,O04090,O04090_FES,FES,4.562589168548584,1
120,O52681_L120P,O52681_L120P_FES,FES,5.269145488739014,1
121,P00208_D13G_V14G_C58A,P00208_D13G_V14G_C58A_SF4_proximal,SF4,5.57192850112915,1
122,P00208_D13G_V14G_C58A,P00208_D13G_V14G_C58A_SF4_distal,SF4,9.725349426269531,1
123,P00209_SF4,P00209_SF4_SF4,SF4,5.268702030181885,1
124,P00214_C21A,P00214_C21A_SF4,SF4,5.517872333526611,1
125,P00214_C21A,P00214_C21A_F3S,F3S,7.186720848083496,1
126,O52681_V128C,O52681_V128C_FES,FES,5.151181697845459,1
127,O52681_V128T,O52681_V128T_FES,FES,5.1522088050842285,1
128,O52681_A122P,O52681_A122P_FES,FES,5.193486213684082,1
129,O52681_V128A,O52681_V128A_FES,FES,5.149824619293213,1
130,O52681_G80P,O52681_G80P_SF4,SF4,9.775317192077637,1
131,P00209_F3S,P00209_F3S_F3S,F3S,5.36411714553833,1
132,P16972,P16972_FES,FES,4.5340704917907715,1
133,P24297,P24297_FE,FE,4.235897064208984,1
134,Q8KCZ7,Q8KCZ7_SF4_proximal,SF4,5.509114742279053,1
135,Q8KCZ7,Q8KCZ7_SF4_distal,SF4,6.966809272766113,1
136,Q8KCZ6,Q8KCZ6_SF4_proximal,SF4,5.481197834014893,1
137,Q8KCZ6,Q8KCZ6_SF4_distal,SF4,6.89971399307251,1
138,P9WF43,P9WF43_SF4,SF4,8.128491401672363,1
139,P52102,P52102_SF4_proximal,SF4,5.457901477813721,1
140,P52102,P52102_SF4_distal,SF4,9.639176368713379,1
141,P10245,P10245_SF4,SF4,5.168384075164795,1
142,O52681_V128W,O52681_V128W_FES,FES,5.119069576263428,1
143,P00268,P00268_FE,FE,4.21792459487915,1
144,P05314,P05314_SF4,SF4,21.406339645385742,1
145,P0A3C8,P0A3C8_FES,FES,4.730661392211914,1
146,O52681_V128D,O52681_V128D_FES,FES,5.113470077514648,1
147,O52681_V128S,O52681_V128S_FES,FES,5.151085376739502,1
148,P0DUV7,P0DUV7_SF4,SF4,23.33771514892578,1
149,Q9XBQ8,Q9XBQ8_SF4,SF4,14.399116516113281,1
150,Q9HH83,Q9HH83_FES,FES,5.140109062194824,1
151,Q9ZQG8,Q9ZQG8_FES,FES,5.63347864151001,1
152,P55907,P55907_F3S,F3S,5.023334503173828,1
153,P55907,P55907_SF4,SF4,5.358756065368652,1
154,O85673,O85673_FE,FE,10.535050392150879,1
155,O85673,O85673_FES,FES,4.229824542999268,1
156,O52681_V128R,O52681_V128R_FES,FES,5.181579113006592,1
157,O52681_V128E,O52681_V128E_FES,FES,5.042765140533447,1
158,P0A3C9,P0A3C9_FES,FES,4.495858669281006,1
159,Q9X1D7,Q9X1D7_FES,FES,5.190359592437744,1
160,O52681_V128G,O52681_V128G_FES,FES,5.146583557128906,1
161,O52681_V128P,O52681_V128P_FES,FES,5.104732513427734,1
162,P18187,P18187_SF4_proximal,SF4,9.194530487060547,1
163,P18187,P18187_F3S_intermediate,F3S,17.482154846191406,1
164,P18187,P18187_SF4_distal,SF4,17.249351501464844,1
165,P04169,P04169_SF4,SF4,2.2308037281036377,1
166,P10109,P10109_FES,FES,16.615535736083984,1
167,P04168,P04168_SF4,SF4,6.543762683868408,1
168,P38524,P38524_SF4,SF4,6.0609941482543945,1
169,O52681_V128Q,O52681_V128Q_FES,FES,5.161272048950195,1
170,O52681_V128F,O52681_V128F_FES,FES,4.673641681671143,1
