Dataset,Original Features,After Preprocessing (avg),Retained (%),Highly Stable Features (%),Stable Features (%)
complete_dataset (r=1Å),199,97.5 ± 1.9,49.0%,47.2%,0.5%
complete_dataset (r=2Å),199,101.5 ± 3.4,51.0%,47.2%,3.0%
complete_dataset (r=3Å),199,114.3 ± 1.9,57.4%,52.8%,3.5%
complete_dataset (r=4Å),199,124.4 ± 2.8,62.5%,58.3%,3.5%
complete_dataset (r=5Å),199,138.8 ± 1.6,69.7%,66.8%,3.0%
complete_dataset (r=6Å),199,159.5 ± 2.4,80.2%,77.4%,2.0%
complete_dataset (r=7Å),199,164.7 ± 1.6,82.8%,81.4%,1.0%
complete_dataset (r=8Å),199,159.9 ± 1.4,80.4%,79.4%,0.5%
complete_dataset (r=9Å),199,158.9 ± 1.4,79.8%,78.9%,0.5%
complete_dataset (r=10Å),199,158.2 ± 1.2,79.5%,78.4%,1.0%
complete_dataset (r=11Å),199,156.9 ± 1.3,78.8%,77.4%,1.5%
complete_dataset (r=12Å),199,157.6 ± 1.3,79.2%,77.9%,0.5%
complete_dataset (r=13Å),199,156.3 ± 1.0,78.5%,77.9%,0.5%
complete_dataset (r=14Å),199,156.5 ± 0.9,78.6%,77.4%,1.0%
complete_dataset (r=15Å),199,155.8 ± 1.1,78.3%,76.9%,1.0%
complete_dataset (r=16Å),199,153.5 ± 0.9,77.1%,76.4%,0.5%
